auc1,auc2,gap,center2,tau_r,recovered,recovered_within_window,t_return,functional_time,x_max
0.5,1.0,16,26,12.755102040816325,True,False,66.10000000000001,-16.10000000000001,0.8426192415979747
0.5,1.0,16,26,13.244897959183673,True,False,67.7,-17.700000000000003,0.8554330175945677
0.5,1.0,16,26,13.73469387755102,True,False,69.3,-19.299999999999997,0.8677432785508737
0.5,1.0,16,26,14.224489795918368,True,False,70.9,-20.900000000000006,0.8796069010612466
0.5,1.0,16,26,14.714285714285714,True,False,72.55,-22.549999999999997,0.8910322544095837
0.5,1.0,16,26,15.204081632653061,True,False,74.15,-24.150000000000006,0.9020453345439805
0.5,1.0,16,26,15.693877551020408,True,False,75.75,-25.75,0.9126727387180925
0.5,1.0,16,26,16.183673469387756,True,False,77.4,-27.400000000000006,0.922924233151743
0.5,1.0,16,26,16.6734693877551,True,False,79.0,-29.0,0.9328290624361765
0.5,1.0,16,26,17.163265306122447,False,False,,-inf,0.9423960606670501
0.5,1.0,16,26,17.653061224489797,False,False,,-inf,0.9516442582016151
0.5,1.0,16,26,18.142857142857142,False,False,,-inf,0.9605940195031826
0.5,1.0,16,26,18.632653061224488,False,False,,-inf,0.9692433991361709
0.5,1.0,16,26,19.122448979591837,False,False,,-inf,0.9776347050055968
0.5,1.0,16,26,19.612244897959183,False,False,,-inf,0.9857449370299319
0.5,1.0,16,26,20.10204081632653,False,False,,-inf,0.9936206680782838
0.5,1.0,16,26,20.591836734693878,False,False,,-inf,1.0012490133065155
0.5,1.0,16,26,21.081632653061224,False,False,,-inf,1.008642700636192
0.5,1.0,16,26,21.57142857142857,False,False,,-inf,1.0158318819496757
0.5,1.0,16,26,22.06122448979592,False,False,,-inf,1.0227977146129459
0.5,1.0,16,26,22.551020408163264,False,False,,-inf,1.029569248117982
0.5,1.0,16,26,23.04081632653061,False,False,,-inf,1.0361522336273894
0.5,1.0,16,26,23.53061224489796,False,False,,-inf,1.042539301713051
0.5,1.0,16,26,24.020408163265305,False,False,,-inf,1.0487603970682486
0.5,1.0,16,26,24.51020408163265,False,False,,-inf,1.0548118660383219
0.5,1.0,16,26,25.0,False,False,,-inf,1.0606905230246189
0.5,1.0,20,30,1.0,True,True,34.5,15.5,0.1820010464684433
0.5,1.0,20,30,1.489795918367347,True,True,35.75,14.25,0.25193577562809827
0.5,1.0,20,30,1.9795918367346939,True,True,36.95,13.049999999999997,0.31060595909478195
0.5,1.0,20,30,2.4693877551020407,True,True,38.25,11.75,0.36032960974563505
0.5,1.0,20,30,2.9591836734693877,True,True,39.550000000000004,10.449999999999996,0.40310064220026226
0.5,1.0,20,30,3.4489795918367347,True,True,40.95,9.049999999999997,0.4404687826286797
0.5,1.0,20,30,3.9387755102040813,True,True,42.35,7.649999999999999,0.4736629222293666
0.5,1.0,20,30,4.428571428571429,True,True,43.75,6.25,0.5035847462692393
0.5,1.0,20,30,4.918367346938775,True,True,45.2,4.799999999999997,0.5309317030019154
0.5,1.0,20,30,5.408163265306122,True,True,46.650000000000006,3.3499999999999943,0.5561948701153319
0.5,1.0,20,30,5.8979591836734695,True,True,48.150000000000006,1.8499999999999943,0.5797208077242829
0.5,1.0,20,30,6.387755102040816,True,True,49.6,0.3999999999999986,0.6018292918188142
0.5,1.0,20,30,6.877551020408163,True,False,51.1,-1.1000000000000014,0.6226851563860787
0.5,1.0,20,30,7.36734693877551,True,False,52.6,-2.6000000000000014,0.6424600459618994
0.5,1.0,20,30,7.857142857142857,True,False,54.1,-4.100000000000001,0.6612899448867606
0.5,1.0,20,30,8.346938775510203,True,False,55.650000000000006,-5.650000000000006,0.6792623996014591
0.5,1.0,20,30,8.83673469387755,True,False,57.150000000000006,-7.150000000000006,0.696450463921895
0.5,1.0,20,30,9.326530612244898,True,False,58.7,-8.700000000000003,0.7129304999814825
