sigma,tau_r,recovery_probability,mean_t_return,mean_functional_time,std_functional_time,mean_x_max,tau_sigma_ratio
3.0816326530612246,4.918367346938775,1.0,24.6,25.4,2.039100545456932,0.4337046021109891,1.596026490066225
3.0816326530612246,5.408163265306122,1.0,25.916666666666668,24.083333333333332,2.3286940743588502,0.45662795531491224,1.7549668874172184
3.0816326530612246,5.8979591836734695,1.0,27.335,22.665,3.4366721573698844,0.47800868778286076,1.913907284768212
3.0816326530612246,6.387755102040816,1.0,28.105000000000004,21.894999999999996,3.3973201913800564,0.49798923090901587,2.072847682119205
3.0816326530612246,6.877551020408163,1.0,28.883333333333333,21.116666666666667,3.2450847003805134,0.5167125152195394,2.2317880794701983
3.0816326530612246,7.36734693877551,1.0,30.486666666666668,19.513333333333332,4.165724951051868,0.5341208070558434,2.390728476821192
3.0816326530612246,7.857142857142857,1.0,31.815,18.185,4.3176092921893705,0.5503256563714427,2.5496688741721854
3.0816326530612246,8.346938775510203,1.0,33.18333333333334,16.816666666666666,4.519160994250374,0.565334790387635,2.7086092715231787
3.0816326530612246,8.83673469387755,1.0,34.086666666666666,15.913333333333332,4.389013189956166,0.579344839592017,2.867549668874172
3.0816326530612246,9.326530612244898,1.0,36.12166666666667,13.87833333333333,4.493648454961916,0.5924350903783616,3.0264900662251657
3.0816326530612246,9.816326530612244,0.9666666666666667,37.701666666666675,12.29833333333333,5.805370333806766,0.6048808190501042,3.1854304635761586
3.0816326530612246,10.306122448979592,0.9666666666666667,38.27333333333333,11.726666666666665,5.666731913079412,0.6165214041253951,3.3443708609271523
3.0816326530612246,10.795918367346939,0.9666666666666667,39.39833333333333,10.601666666666665,6.356011047566045,0.6274846952843739,3.5033112582781456
3.0816326530612246,11.285714285714285,0.9333333333333333,40.385000000000005,9.614999999999998,6.593219479393073,0.6377968930698305,3.6622516556291385
3.0816326530612246,11.775510204081632,0.8,42.84166666666667,7.158333333333331,8.688935525984334,0.6475439023815893,3.821192052980132
3.0816326530612246,12.26530612244898,0.8,43.67166666666667,6.3283333333333305,8.434746315230758,0.6568031196762992,3.980132450331126
3.0816326530612246,12.755102040816325,0.7666666666666667,44.49333333333334,5.506666666666664,8.491839219705783,0.6655939316811867,4.139072847682119
3.0816326530612246,13.244897959183673,0.6333333333333333,45.653333333333336,4.346666666666665,8.749255469145234,0.6740471875558549,4.298013245033112
3.0816326530612246,13.73469387755102,0.6333333333333333,46.155,3.8449999999999975,8.699983650400808,0.6821763237052052,4.456953642384105
3.0816326530612246,14.224489795918368,0.6,47.11666666666667,2.883333333333331,9.234197436640097,0.6898711492621704,4.6158940397351
3.0816326530612246,14.714285714285714,0.6,48.13333333333333,1.866666666666664,8.85876084326476,0.6972266861835791,4.774834437086091
3.0816326530612246,15.204081632653061,0.6,48.69666666666667,1.3033333333333306,8.68309826054611,0.7042588704057509,4.933774834437086
3.0816326530612246,15.693877551020408,0.5666666666666667,49.655,0.3449999999999972,8.341063253980069,0.7111458850531331,5.0927152317880795
3.0816326530612246,16.183673469387756,0.5,51.05166666666667,-1.0516666666666696,9.333435292957041,0.7177179753633006,5.251655629139074
3.0816326530612246,16.6734693877551,0.43333333333333335,52.155,-2.155000000000002,9.628892853605075,0.7239910215840982,5.410596026490066
3.0816326530612246,17.163265306122447,0.4,53.265,-3.2650000000000023,9.374922068641608,0.729998484919278,5.5695364238410585
3.0816326530612246,17.653061224489797,0.3,55.10517241379311,-5.105172413793107,9.230658783443069,0.7357364606682071,5.728476821192053
