sigma,tau_r,trial,noise_strength,recovered,recovered_within_window,t_return,functional_time,x_max,tau_sigma_ratio,sigma_tau_ratio
0.5,2.4693877551020407,27,0.02,True,True,17.0,33.0,0.6829873136894569,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,28,0.02,True,True,17.0,33.0,0.6703517039579374,4.938775510204081,0.20247933884297523
0.5,2.4693877551020407,29,0.02,True,True,17.3,32.7,0.6674323269318995,4.938775510204081,0.20247933884297523
0.5,2.9591836734693877,0,0.02,True,True,17.55,32.45,0.7302860558499473,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,1,0.02,True,True,18.25,31.75,0.7447583284483835,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,2,0.02,True,True,21.35,28.65,0.738069701856212,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,3,0.02,True,True,17.95,32.05,0.7432300090359633,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,4,0.02,True,True,19.5,30.5,0.7294198789037022,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,5,0.02,True,True,20.400000000000002,29.599999999999998,0.7241397880380134,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,6,0.02,True,True,19.6,30.4,0.7348638952177667,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,7,0.02,True,True,17.85,32.15,0.7134174376463134,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,8,0.02,True,True,19.5,30.5,0.7312412047481536,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,9,0.02,True,True,19.1,30.9,0.7306898363660055,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,10,0.02,True,True,19.900000000000002,30.099999999999998,0.7219380466511451,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,11,0.02,True,True,17.95,32.05,0.707984162664815,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,12,0.02,True,True,18.900000000000002,31.099999999999998,0.6967480971475941,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,13,0.02,True,True,18.85,31.15,0.7083396445151774,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,14,0.02,True,True,18.0,32.0,0.7124609717378211,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,15,0.02,True,True,18.35,31.65,0.7266774701697514,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,16,0.02,True,True,17.55,32.45,0.7601635716982579,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,17,0.02,True,True,17.7,32.3,0.7358758998977946,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,18,0.02,True,True,16.650000000000002,33.349999999999994,0.7458564737022086,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,19,0.02,True,True,18.0,32.0,0.7317724193186869,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,20,0.02,True,True,19.150000000000002,30.849999999999998,0.7369100394705871,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,21,0.02,True,True,18.35,31.65,0.7450963109472282,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,22,0.02,True,True,21.1,28.9,0.7562752426523653,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,23,0.02,True,True,17.75,32.25,0.7401067900333064,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,24,0.02,True,True,17.45,32.55,0.7098357894271322,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,25,0.02,True,True,20.05,29.95,0.7274301011615726,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,26,0.02,True,True,18.150000000000002,31.849999999999998,0.7518299487167039,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,27,0.02,True,True,17.8,32.2,0.7218304503048762,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,28,0.02,True,True,17.55,32.45,0.7045652573435378,5.918367346938775,0.16896551724137931
0.5,2.9591836734693877,29,0.02,True,True,19.1,30.9,0.7053776561414251,5.918367346938775,0.16896551724137931
0.5,3.4489795918367347,0,0.02,True,True,18.5,31.5,0.764547142528638,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,1,0.02,True,True,19.55,30.45,0.7776471652488404,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,2,0.02,True,True,22.3,27.7,0.7685022285024654,6.8979591836734695,0.14497041420118342
